code|description
15119200|carne de liebre
15119300|caza
15119400|ancas de rana
15119500|palomas
15119600|carne de pescado
15130000|productos cárnicos
15131000|conservas y preparaciones cárnicas
15131100|productos a base de carne para embutidos
15131110|carne para embutidos
15131120|productos de charcutería
15131130|embutidos
15131134|morcillas y otros embutidos de sangre
15131135|embutidos de carne de ave
15131200|carne seca, salada, ahumada o condimentada
15131210|jamón ahumado
15131220|beicon
15131230|salami
15131300|preparaciones a base de hígado
15131310|paté
15131320|preparaciones a base de hígado de ganso o de pato
15131400|productos a base de carne de cerdo
15131410|jamón
15131420|albóndigas
15131490|platos preparados con carne de cerdo
15131500|productos de volatería
15131600|productos a base de carne de vaca y de ternera
15131610|albóndigas de carne de vaca
15131620|carne picada de vaca
15131640|hamburguesas de carne de vaca
15131700|preparaciones a base de carne
15200000|pescado preparado y en conserva
15210000|filetes de pescado, hígados y huevas de pescado
15211000|filetes de pescado
15211100|filetes de pescado fresco
15212000|huevas
15213000|hígados de pescado
15220000|pescado, filetes de pescado y otros tipos de carne de pescado congelados
15221000|pescado congelado
15229000|productos congelados de pescados
15230000|pescado seco o salado; en salmuera; ahumado
15231000|pescado seco
15232000|pescado salado
15233000|pescado en salmuera
15234000|pescado ahumado
15235000|conservas de pescado
15240000|pescado en conserva o en lata y otros pescados preparados o en conserva
15241000|pescado empanado, en conserva o en lata
15241100|salmón en conserva
15241200|arenques preparados o en conserva
15241300|sardinas
15241400|atún en conserva
15241500|caballa
15241600|anchoas
15241700|palitos de pescado
15241800|preparaciones a base de pescado empanado
15242000|platos de pescado preparados
15243000|preparaciones a base de pescado
15244000|caviar y huevos de peces
15244100|caviar
15244200|huevos de peces
15250000|mariscos
15251000|crustáceos congelados
15252000|crustáceos preparados o en conserva
15253000|productos a base de moluscos
15300000|frutas, legumbres y hortalizas y productos conexos
15310000|patatas y productos a base de patatas
15311000|patatas congeladas
15311100|patatas fritas
15311200|patatas en dados, en rodajas y otras, congeladas
15312000|productos a base de patatas
15312100|puré de patatas instantáneo
15312200|patatas prefritas
15312300|hojuelas de patatas
15312310|hojuelas de patatas condimentadas
15312400|aperitivos a base de patatas
15312500|croquetas de patatas
15313000|patatas elaboradas
15320000|zumos de frutas y hortalizas
15321000|zumos de frutas
15321100|zumo de naranja
15321200|zumo de pomelo
15321300|zumo de limón
15321400|zumo de piña
15321500|zumo de uva
15321600|zumo de manzana
15321700|mezclas de zumos no concentrados
15321800|zumos concentrados
15322000|zumos de hortalizas
15322100|zumo de tomate
15330000|frutas y hortalizas elaboradas
15331000|legumbres y hortalizas elaboradas
15331100|legumbres y hortalizas frescas o congeladas
15331110|hortalizas de raíz elaboradas
15331120|hortalizas de tubérculo elaboradas
15331130|judías, guisantes, pimientos, tomates y las demás legumbres y hortalizas
15331131|judías elaboradas
15331132|guisantes elaborados
15331133|guisantes partidos
15331134|tomates elaborados
15331135|setas elaboradas
15331136|pimientos elaborados
15331137|brotes de soja
15331138|trufas
15331140|hortalizas de hoja y coles
15331142|repollos elaborados
15331150|legumbres elaboradas
15331170|legumbres y hortalizas congeladas
15331400|legumbres y hortalizas en conserva y/o enlatadas
15331410|judías en salsa de tomate
15331411|judías blancas cocidas, en salsa de tomate
15331420|tomates en conserva
15331423|tomates enlatados
15331425|puré de tomate
15331427|puré de tomate concentrado
15331428|salsa de tomate
15331430|champiñones enlatados
15331450|aceitunas elaboradas
15331460|legumbres y hortalizas enlatadas
15331461|coles fermentadas enlatadas
15331462|guisantes enlatados
15331463|alubias desvainadas enlatadas
15331464|judías verdes enteras enlatadas
15331465|espárragos enlatados
15331466|aceitunas enlatadas
15331470|maíz dulce
15331480|legumbres y hortalizas conservadas provisionalmente
15331500|hortalizas en vinagre
15332000|frutas y frutos de cáscara elaborados
15332100|frutas elaboradas
15332140|manzanas elaboradas
15332150|peras elaboradas
15332160|plátanos elaborados
15332170|ruibarbo
15332180|melones
15332200|compotas y mermeladas; jaleas de fruta; purés y pastas de fruta o de frutos de cáscara
15332230|mermeladas
15332231|mermelada de naranja
15332232|mermelada de limón
15332240|jaleas de fruta
15332250|pastas de fruta
15332260|pasta de frutos de cáscara
15332261|mantequilla de cacahuete
15332270|purés de fruta
15332290|compotas
15332291|compota de albaricoque
15332292|compota de zarzamora
15332293|compota de grosella negra "casis"
15332294|compota de cereza
15332295|compota de frambuesa
15332296|compota de fresa
15332300|frutos de cáscara elaborados
15332310|frutos de cáscara tostados o salados
15332400|conservas de fruta
15332410|fruta seca
15332411|pasas de corinto elaboradas
15332412|pasas elaboradas
15332419|sultaninas
15333000|subproductos de hortalizas
15400000|aceites y grasas animales o vegetales
15410000|aceites y grasas animales o vegetales en bruto
15411000|aceites animales o vegetales
15411100|aceites vegetales
15411110|aceite de oliva
15411120|aceite de sésamo
15411130|aceite de cacahuete
15411140|aceite de coco
15411200|aceite de cocina
15411210|aceite para freír
15412000|grasas
15412100|grasas animales
15412200|grasas vegetales
15413000|residuos sólidos de grasas o aceites vegetales
15413100|torta de oleaginosas
15420000|aceites y grasas refinados
15421000|aceites refinados
15422000|grasas refinadas
15423000|grasas o aceites hidrogenados o esterificados
15424000|ceras vegetales
15430000|grasas comestibles
15431000|margarina y preparaciones similares
15431100|margarina
15431110|margarina líquida
15431200|productos para untar de contenido graso bajo o reducido
15500000|productos lácteos
15510000|leche y nata (crema)
15511000|leche
15511100|leche pasteurizada
15511200|leche esterilizada
15511210|leche uht
15511300|leche descremada
15511400|leche semidescremada
15511500|leche entera
15511600|leche condensada
15511700|leche en polvo
15512000|nata (crema)
15512100|crema de leche, con un contenido de materias grasas, en peso, superior al 18 %
15512200|crema de leche espesa, con un contenido de materias grasas, en peso, del 48 %
15512300|nata en grumos ("clotted cream"), con un contenido de materias grasas, en peso, igual o superior al 48 %
15512900|nata montada
15530000|mantequilla
15540000|queso
15541000|queso de mesa
15542000|queso fresco
15542100|requesón
15542200|quesos de pasta blanda
15542300|queso feta
15543000|queso rallado, en polvo, de pasta azul y otros quesos
15543100|queso de pasta azul
15543200|queso cheddar
15543300|queso rallado
15543400|queso parmesano
15544000|queso de pasta dura
15545000|quesos para untar
15550000|productos lácteos diversos
15551000|yogur y otros productos lácteos fermentados
15551300|yogur
15551310|yogur natural
15551320|yogur aromatizado
15551500|suero de mantequilla
15552000|caseína
15553000|lactosa o jarabe de lactosa
15554000|suero de leche
15555000|helados y productos similares
15555100|helados
15555200|sorbetes
15600000|productos de molinería, almidones y productos de almidón
15610000|productos de molinería
15611000|arroz descascarillado
15612000|harina de cereales o legumbres y productos conexos
15612100|harina de trigo
15612110|harina integral
15612120|harina de panificación
15612130|harina corriente
15612150|harina para pastelería
15612190|harina fermentante
15612200|harina de cereales
15612210|harina de maíz
15612220|harina de arroz
15612300|harinas y sémolas vegetales
15612400|mezclas para la preparación de productos de panadería
15612410|mezclas de pastelería
15612420|mezclas para hornear
15612500|productos de panadería
15613000|productos a base de granos de cereales
15613100|avena molida
15613300|productos a base de cereales
15613310|cereales preparados para desayuno
15613311|copos de maíz
15613313|muesli o equivalente
15613319|trigo hinchado
15613380|granos aplastados de avena
15614000|arroz elaborado
15614100|arroz de grano largo
15614200|arroz molido
15614300|arroz partido
15615000|salvado
15620000|almidones y productos amiláceos
15621000|aceite de maíz
15622000|glucosa y productos a base de glucosa; fructosa y productos a base de fructosa
15622100|glucosa y productos a base de glucosa
15622110|glucosa
15622120|jarabe de glucosa
15622300|fructosa y productos a base de fructosa
15622310|fructosa
15622320|preparaciones a base de fructosa
15622321|soluciones de fructosa
15622322|jarabe de fructosa
15623000|almidones y féculas
15624000|tapioca
15625000|sémola
15626000|natillas en polvo
15700000|alimentos para el ganado
15710000|alimentos preparados para animales de granja y otros animales
15711000|alimentos para peces
15712000|pienso seco
15713000|alimentos para animales domésticos
15800000|productos alimenticios diversos
15810000|productos de panificación, pasteles y productos de pastelería frescos
15811000|productos a base de pan
15811100|pan
15811200|panecillos
15811300|cruasanes
15811400|tortitas ("crumpets")
15811500|productos de panificación preparados
15811510|bocadillos y emparedados
15811511|bocadillos y emparedados preparados
15812000|pasteles y productos de pastelería
15812100|productos de pastelería
15812120|empanadas
15812121|empanadas de verduras
15812122|empanadas dulces
15812200|pasteles
15813000|productos para el desayuno
15820000|biscotes y galletas; pasteles y productos de pastelería conservados
15821000|productos de pan tostado y de pastelería
15821100|productos de pan tostado
15821110|pan tostado
15821130|galletas crocantes
15821150|biscotes
15821200|galletas dulces
15830000|azúcar y productos conexos
15831000|azúcar
15831200|azúcar blanco
15831300|azúcar y jarabe de arce
15831400|melazas
15831500|jarabes de azúcar
15831600|miel
15832000|residuos de la industria azucarera
15833000|productos del azúcar
15833100|postres
15833110|fondos de tarta
15840000|cacao; chocolate y productos de confitería
15841000|cacao
15841100|pasta de cacao
15841200|manteca, grasa o aceite de cacao
15841300|cacao en polvo no azucarado
15841400|cacao en polvo azucarado
15842000|chocolate y artículos de confitería
15842100|chocolate
15842200|productos a base de chocolate
15842210|chocolate para beber
15842220|tabletas de chocolate
15842300|artículos de confitería
15842310|caramelos
15842320|turrón
15842400|frutas, frutos de cáscara o cáscaras de fruta conservados con azúcar
15850000|pastas alimenticias
15851000|productos farináceos
15851100|pastas alimenticias sin cocer
15851200|pastas alimenticias y cuscús preparados
15851210|pastas alimenticias preparadas
15851220|pastas alimenticias rellenas
15851230|lasañas
15851250|cuscús
15851290|pastas alimenticias enlatadas
15860000|café, té y productos conexos
15861000|café
15861100|café tostado
15861200|café descafeinado
15862000|sucedáneos del café
15863000|té
15863100|té verde
15863200|té negro
15864000|preparaciones de té o de mate
15864100|bolsitas de té
15865000|infusiones de hierbas
15870000|condimentos y sazonadores
15871000|vinagre; salsas; condimentos compuestos; harina y polvo de mostaza; mostaza preparada
15871100|vinagre y sucedáneos del vinagre
15871110|vinagre o equivalente
15871200|salsas, condimentos compuestos y sazonadores compuestos
15871210|salsa de soja
15871230|ketchup
15871250|mostaza
15871260|salsas
15871270|condimentos compuestos
15871273|mayonesa
15871274|productos para untar bocadillos
15871279|chutney
15872000|hierbas y especias
15872100|pimienta
15872200|especias
15872300|hierbas
15872400|sal
15872500|jengibre
